occurrenceID	catalogNumber	institutionCode	recordedBy	individualCount	YE	MO	DA	eventDate	Country col.	countryCode	stateProvince	lat	lon	County	Locality col.	Elevation	geodeticDatum	coordinateUncertaintyInMeters	identifiedBy	typeStatus	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	Full name	taxonRank	Authorship	Other name
urn:catalog:UWP:BIGU:175994	175994	University of White Plains	Betancur J	1	2005	1	3	2005-1-3	Guatemala	GT	Petén	17.2498352	-89.3719011	Flores	Margen izquierda del río Mutatá	300	WGS84	534	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Vriesea	chontalensis		Vriesea chontalensis	Species	(Baker) L.B. Sm.	
urn:catalog:UWP:BIGU:176060	176060	University of White Plains	Betancur J	1	2005	1	3	2005-1-3	Guatemala	GT	Petén	17.2742442	-89.6102276	Flores	Miranda - Higuerón	300	WGS84	534	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae				Poaceae	Family		
urn:catalog:UWP:BIGU:173457	173457	University of White Plains	Vargas I	1	2010	1	5	2010-1-5	Guatemala	GT	Petén	17.5228808	-89.3094777	Melchor de Mencos	Cruce carretera Cachipay - Anolaima	240	WGS84	6405	Alzate F.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Tillandsia	complanata		Tillandsia complanata	Species	Benth.	
urn:catalog:UWP:BIGU:176617	176617	University of White Plains	Betancur J	1	2005	1	5	2005-1-5	Guatemala	GT	Petén	17.6748171	-89.3306971	Melchor de Mencos	Playa Mecana	160	WGS84	534	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Cyperaceae	Eleocharis			Eleocharis	Genus		
urn:catalog:UWP:BIGU:176616	176616	University of White Plains	Betancur J	1	2005	1	5	2005-1-5	Guatemala	GT	Petén	17.6719406	-89.2924027	Melchor de Mencos	Playa de Turbo	160	WGS84	534	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae				Poaceae	Family		
urn:catalog:UWP:BIGU:176622	176622	University of White Plains	Betancur J	1	2005	1	6	2005-1-6	Guatemala	GT	Petén	17.6714453	-90.3115491	San Andres	Río Rosario	0	WGS84	659	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae	Sporobolus			Sporobolus	Genus		
urn:catalog:UWP:BIGU:176640	176640	University of White Plains	Betancur J	1	2005	1	6	2005-1-6	Guatemala	GT	Petén	17.6750089	-90.6609383	San Andres	Río San Juan, debajo de Andagoya	0	WGS84	659	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Poaceae				Poaceae	Family		
urn:catalog:UWP:BIGU:189540	189540	University of White Plains	Betancur J	1	1995	1	10	1995-1-10	Guatemala	GT	Petén	17.6163915	-89.5112324	Flores	Páramo de Bolo Blanco	270	WGS84	2216	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Tillandsia	complanata		Tillandsia complanata	Species	Benth.	
urn:catalog:UWP:BIGU:189541	189541	University of White Plains	Betancur J	1	1995	1	10	1995-1-10	Guatemala	GT	Petén	17.6236788	-89.5368439	Flores	Páramo de Chingaza	270	WGS84	2216	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Bromeliaceae	Greigia	danielii		Greigia danielii	Species	L.B. Sm.	
urn:catalog:UWP:BIGU:160833	160833	University of White Plains	Betancur J	1	1995	1	10	1995-1-10	Guatemala	GT	Petén	17.5782028	-89.4187338	Flores	Outskirts of Quibdó	270	WGS84	2216	Betancur J.		Plantae	Magnoliophyta	Equisetopsida	Poales	Eriocaulaceae	Paepalanthus			Paepalanthus	Genus		
