Cat. Numb.;University;Collector;No. of spec.;YE;MO;DA;Country col.;countryCode;stateProvince;lat;lon;County;Locality col.;Elevation;geodeticDatum;coordinate Uncertainty;identifiedBy;typeStatus;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;Full name;taxonRank;Authorship;Other name
UWP:100217;University of Guatemala;Betancur J;1;1991;5;11;Guatemala;GT;Petén;17.2388802;-90.6602972;La Libertad;Ciénagas de Jotaudo - Munguido;250;WGS84;3300;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Vriesea;drewii;;Vriesea drewii;Species;L.B. Sm.;
UWP:100218;University of Guatemala;Betancur J;1;1991;5;11;Guatemala;GT;Petén;17.288954;-90.6705137;La Libertad;Club El Rodeo;250;WGS84;3300;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Vriesea;drewii;;Vriesea drewii;Species;L.B. Sm.;
UWP:101378;University of Guatemala;Fonnegra R;1;1994;5;31;Guatemala;GT;Petén;17.3098632;-89.7846692;San Jose;Inspección El Capricho;514;WGS84;1731;Díaz O.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Poaceae;Olyra;latifolia;;Olyra latifolia;Species;L.;
UWP:101717;University of Guatemala;Betancur J;1;1993;11;9;Guatemala   ;GT;Petén;17.6569118;-89.6001739;Flores;Páramo de El Tábano. cerca de Pasto;270;WGS84;1952;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;coriostachya;;Guzmania coriostachya;Species;(Griseb.) Mez;
UWP:101737;University of Guatemala;Betancur J;1;1993;11;7;Guatemala;GT;Petén;17.5327108;-89.8173641;San Jose;Sitio Tinajas. afluente del río Tapartó;360;WGS84;842;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Greigia;stenolepis;;Greigia stenolepis;Species;L.B. Sm.;
UWP:102143;University of Guatemala;Betancur J;1;1994;4;20;Guatemala;GT;Petén;17.1793889;-90.8080889;Libertad La;Barrio Oneti margen izquierda del río Jella;150;WGS84;9593;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;fosteriana;;Guzmania fosteriana;Species;L.B. Sm.;
UWP:102144;University of Guatemala;Betancur J;1;1994;4;20;Guatemala;GT;Petén;17.1821024;-90.7431008;La Libertad;Barrio Policarpa;150;WGS84;9593;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;fosteriana;;Guzmania fosteriana;Species;L.B. Sm.;
UWP:102233;University of Guatemala;Vargas I;1;1995;12;;Guatemala;GT;Petén;"5° 35' 12"" N";"75° 46' 18"" W";Flores;Cerca de Yuto;514;WGS84;291;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Catopsis;sessiliflora;;Catopsis sessiliflora;Species;(Ruiz & Pav.) Mez;
UWP:103108;University of Guatemala;Cardona F;1;1996;4;3;Guatemala;GT;Petén;17.5260944;-90.8413581;San Andres;Río Claro. lado del camino hacia El Refugio;500;WGS84;3207;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;lingulata;;Guzmania lingulata;Species;(L.) Mez;
UWP:104139;University of Guatemala;Fonnegra R;1;1996;5;15;Guatemala   ;GT;Petén;17.7608007;-89.7571283;San Jose;Las Acacias;308;WGS84;757;Betancur J.;;Plantae;Magnoliophyta;Equisetopsida;Poales;Bromeliaceae;Guzmania;coriostachya;;Guzmania coriostachya;Species;(Griseb.) Mez;
